home_team,away_team,season_start_year,month,predicted_winner,home_win_prob,draw_prob,away_win_prob
RB Leipzig,Bayern München,2024,5,2,0.35989723,0.2767621,0.36334068
1. FSV Mainz 05,Eintracht Frankfurt,2024,5,2,0.2022982,0.3274362,0.47026554
1. FC Union Berlin,Werder Bremen,2024,5,0,0.47954178,0.36817098,0.15228721
Borussia Dortmund,VfL Wolfsburg,2024,5,0,0.6696527,0.25607318,0.07427411
1. FC Heidenheim,VfL Bochum,2024,5,0,0.61713535,0.2475611,0.13530354
Werder Bremen,RB Leipzig,2024,5,2,0.3493508,0.27867404,0.37197518
Bayer 04 Leverkusen,Borussia Dortmund,2024,5,2,0.306885,0.1945499,0.49856505
1. FC Union Berlin,1. FC Heidenheim,2024,5,1,0.37435704,0.41752437,0.20811863
VfB Stuttgart,FC Augsburg,2024,5,0,0.883274,0.08023653,0.036489423
VfL Bochum,1. FSV Mainz 05,2024,5,1,0.2083955,0.40988034,0.38172415
Bayern München,Bor. Mönchengladbach,2024,5,0,0.8249242,0.14107198,0.034003794
1. FSV Mainz 05,Bayer 04 Leverkusen,2024,5,2,0.08988822,0.12779842,0.7823133
RB Leipzig,VfB Stuttgart,2024,5,2,0.21278802,0.2948132,0.49239877
SC Freiburg,Eintracht Frankfurt,2024,5,2,0.13422444,0.37358394,0.49219158
1. FC Heidenheim,Werder Bremen,2024,5,0,0.6484434,0.26077414,0.09078246
Bor. Mönchengladbach,VfL Wolfsburg,2024,5,0,0.5096297,0.3512163,0.13915397
FC Augsburg,1. FC Union Berlin,2024,5,1,0.30205575,0.4658326,0.23211166
